query,answer,gt_sources,start_candidates
Is it true that White evangelical Protestants express a higher level of concern about the migrant influx at the U.S.-Mexico border being a crisis compared to their likelihood of reporting they felt the presence of a deceased family member in the past year?,"True. 70% of White evangelical Protestants view the migrant influx as a crisis (chart_00184_01), while only 26% report feeling the presence of a deceased family member (chart_00022_03).","chart_00184_01,chart_00022_03",Protestant
"Is it true that among U.S. teens familiar with ChatGPT, a smaller proportion are unsure about its acceptability for researching new topics compared to those who find it acceptable?","True. The text evidence confirms the population is teens familiar with ChatGPT, and the chart shows 18% unsure versus 69% who find it acceptable for research.","paragraph_00092_03,chart_00088_03",Respondents who did not give an answer
"Is it true that in South Korea, the proportion of people who believe men and women are equally good political leaders is greater than the proportion of men who believe men should be primarily responsible for earning money?","True. The first chart shows 80% of South Koreans believe men and women are equally good political leaders, while the second chart indicates 28% of South Korean men say men should be primarily responsible for earning money; 80% is greater than 28%.","chart_00194_02,chart_00177_02",France
"Is it true that in 2023, the percentage of the population in France using social media sites was higher than the percentage with confidence in Joe Biden?","True. In 2023, 67% of France's population used social media sites (from chart_00187_01), while only 44% had confidence in Joe Biden (calculated from 56% no confidence in paragraph_00120_03).","chart_00187_01,paragraph_00120_03",France
Is it true that White Evangelical Protestants are more likely to view U.S. immigration policy as a crisis than the proportion of all Protestants who reported feeling the presence of a deceased family member?,"True. 70% of White Evangelical Protestants viewed immigration as a crisis (chart_00184_01), while 33% of all Protestants reported feeling the presence of a deceased family member (chart_00022_03).","chart_00184_01,chart_00022_03",Protestant
"Is it true that in Sri Lanka, Buddhists are more likely to perceive religious diversity as having a negative impact on their country compared to the overall adult population?","True. The text evidence states that 68% of Buddhists in Sri Lanka perceive the growing number of Muslims as a threat, while the chart shows only 6% of Sri Lanka's overall adult population reported religious diversity makes their country worse.","paragraph_00091_05,chart_00091_02",Buddhists
Is it true that a larger proportion of adults in Vietnam participate in burning incense for ancestral traditions compared to adults in Japan?,"True. Vietnam shows 96% participation in burning incense (chart_00128_02), while Japan shows 79% (chart_00261_04).","chart_00128_02,chart_00261_04",Survey of Asian American adults
"Is it true that religiously unaffiliated voters, representing over one-third of the electorate, show stronger support for Biden than for Trump in the 2024 presidential election?","True. Religious unaffiliation constitutes 38% of all voters (chart_00159_04), and 69% of this group supports Biden/Lean Biden compared to 28% for Trump/lean Trump (chart_00224_02).","chart_00159_04,chart_00224_02",American Trends Panel
Is it true that a majority of adults in each of the five East Asian publics surveyed participate in at least one traditional practice to honor their ancestors?,"True. Hong Kong (64%), Japan (85%), South Korea (57%), and Taiwan (86%) show majority participation in chart_00261_04, while Vietnam demonstrates majority engagement with 96% burning incense and other practices in chart_00128_02.","chart_00261_04,chart_00128_02",Five East Asian publics
"Is it true that among U.S. adults surveyed in mid-2024, the percentage supporting a TikTok ban was nearly identical to the percentage believing a ban would likely occur?","True, because 32% of U.S. adults supported a TikTok ban while 31% believed it was likely that TikTok would be banned, according to the July-August 2024 survey data.","paragraph_00251_01,chart_00251_04",Valid TikTok Handle
"Is it true that in 2023, a majority of French citizens held a favorable view of the United Nations while France was among nations where public sentiment toward China was predominantly negative?","True. In 2023, 62% of French citizens held a favorable view of the United Nations, which constitutes a majority. The text evidence confirms France is among countries where pluralities of adults hold unfavorable views of China.","chart_00252_02,paragraph_00006_02",France
Is it true that Nigeria's social media usage rate exceeds its favorable view of the United Nations in 2024?,"False. Nigeria's social media usage rate is 55% (chart_00187_01), while its favorable view of the United Nations in 2024 is 69% (chart_00252_02).","chart_00187_01,chart_00252_02",Nigeria
"Is it true that White Evangelical Protestants, who are more likely to affiliate with the Republican party, predominantly view the influx of migrants at the U.S.-Mexico border as a crisis?","True. 70% of White Evangelical Protestants consider the migrant influx a crisis (chart_00184_01), and they constitute 30% of Republican voters compared to 17% among all voters (chart_00136_04).","chart_00184_01,chart_00136_04",Protestant
Is it true that Democratic voters are more likely to identify as religiously unaffiliated compared to Republican voters?,"True. 26% of Democratic voters identify as religiously unaffiliated (chart_00159_04), while only 15% of Republican voters do (chart_00136_04).","chart_00159_04,chart_00136_04",American Trends Panel
"Is it true that in Nigeria, the proportion of the population using social media is lower than the proportion using the internet?","True. Social media usage in Nigeria is 55% (chart_00187_01), while internet usage is 57% (chart_00068_02), confirming the lower social media adoption rate.","chart_00068_02,chart_00187_01",Nigeria
Is it true that Evangelical Protestants express greater concern about the migrant influx at the U.S.-Mexico border being a crisis compared to their concern about declining marriage rates negatively affecting the country's future?,"True. 70% of White Evangelical Protestants view the migrant influx as a crisis (chart_00184_01), while 55% perceive declining marriage rates as having a negative impact on the country's future (chart_00042_01).","chart_00184_01,chart_00042_01",Protestant
"Is it true that in Thailand, more than half of adults express favorable views on religious compatibility with other faiths while also supporting legal recognition of same-sex unions?","True, because 52% of Thai adults believe other major religions are compatible with Thai culture and values, and 60% of Thailand's general population supports legal same-sex marriage.","paragraph_00091_03,chart_00095_02",Buddhism
Is it true that Nigeria experienced a significant decline in economic ratings between 2023 and 2024 while maintaining social media usage among more than half of its population?,"True. The economic ratings chart shows Nigeria's rating decreased by 14 percentage points (from 25% to 11%), and the social media usage chart indicates 55% of Nigerians use social media platforms.","chart_00114_02,chart_00187_01",Nigeria
"Is it true that Republicans, who are more likely to describe themselves as traditional, are also more likely than Democrats to want news from journalists who share their political views?","False. While 58% of Republicans describe themselves as traditional compared to 19% of Democrats, 40% of Republicans want news from journalists who share their political views compared to 41% of Democrats, so Republicans are not more likely to want such news.","chart_00232_02,chart_00169_02",Political View Alignment
"Is it true that in Kenya, both public assessments of the national economic situation and favorable views of the European Union improved in recent years?","True. The economic ratings chart (chart_00114_02) shows Kenyan economic assessments improved from 24% in 2023 to 36% in 2024, while the text evidence (paragraph_00076_02) states EU favorability in Kenya increased by 10 or more percentage points since 2019.","chart_00114_02,paragraph_00076_02",2023 Global Attitudes Survey
"Is it true that in Nigeria, the proportion of the population using social media is lower than the proportion feeling close to people in their local community?","True. The evidence shows 55% of Nigerians use social media (from chart_00187_01) while 91% feel close to people in their local community (from chart_00228_01), confirming the social media usage proportion is lower.","chart_00187_01,chart_00228_01",Nigeria
"Is it true that according to surveys conducted in 2022-2023, the level of support for same-sex marriage among Nigerian adults was lower than the level of favorable views toward the United Nations measured in 2023?","True. The text evidence shows only 2% of Nigerian adults support same-sex marriage, while the UN favorability chart indicates 78% held favorable views in 2023.","paragraph_00094_02,chart_00252_02",Nigeria
Is it true that White evangelical Christians are both less prevalent among Democratic voters than in the general electorate and more likely to support Trump over Biden?,"True. Among Democratic voters, White evangelicals constitute 5% compared to 17% of all voters (chart_00159_04), and 81% of White evangelicals support Trump while only 17% support Biden (chart_00224_02).","chart_00159_04,chart_00224_02",American Trends Panel
"Is it true that support for a U.S. government ban on TikTok declined between early and late 2023, while a majority of U.S. adults reported feeling sadness about news coverage of the Israel-Hamas war in early 2024?","True. Support for a TikTok ban decreased from 50% in March 2023 to 38% in Sept-Oct 2023 (chart_00210_04), and 83% of U.S. adults reported feeling sad about Israel-Hamas war news in Feb 2024 (chart_00207_05).","chart_00210_04,chart_00207_05",U.S. Adults (18+)
"Is it true that in July 2023, a majority of U.S. adults believed partisan conflict was a significant issue in the political system and also supported restricting campaign spending limits?","True. 86% of U.S. adults viewed partisan fighting as a significant problem, and 72% supported campaign spending limits, both exceeding the 50% threshold for a majority.","chart_00073_05,chart_00073_02",U.S. Adults (18+)
Is it true that White Evangelical Protestants are more likely than the general public to consider immigration policy a key issue in the 2024 presidential election and view the migrant influx at the U.S.-Mexico border as a crisis?,"True. White Evangelical Protestants had 79% considering immigration policy a key issue compared to 61% among all voters (chart_00253_04), and 70% viewing the border situation as a crisis compared to 45% among U.S. adults (chart_00184_01).","chart_00253_04,chart_00184_01",Protestant
Is it true that Democratic voters are more likely to be religiously unaffiliated than young adults (18-29) are to believe the Holocaust is a myth according to probability-based survey data?,"True. Democratic voters show 38% religiously unaffiliated (chart_00159_04), while 18-29 year olds show 3% belief in Holocaust myth in probability-based surveys (chart_00186_04).","chart_00159_04,chart_00186_04",American Trends Panel
Is it true that Nigeria demonstrates both a high level of community cohesion and a relatively high prevalence of favorable views toward China combined with unfavorable views toward Taiwan when compared internationally?,"True. The chart shows 91% of Nigerians feel close to people in their local community (above the 24-country median of 78%), and the text states 22% of Nigerians hold positive views of China and negative views of Taiwan, which is the highest share among surveyed countries.","chart_00228_01,paragraph_00006_02",Nigeria
"Is it true that among non-TikTok users in the United States, the level of uncertainty regarding whether a ban will occur is lower than their uncertainty about whether to support such a ban?","True. The chart shows 21% of non-users are uncertain about the likelihood of a ban, while the text states 43% of non-users are uncertain about supporting a ban.","chart_00251_04,paragraph_00251_03",Valid TikTok Handle
Is it true that Republicans demonstrate both higher support for government intervention in social media platforms and lower confidence in election fairness compared to Democrats?,"True. The text evidence shows 50% of Republicans support banning TikTok versus 29% of Democrats, while the election confidence chart indicates Republicans had 47% confidence in election fairness in 2024 compared to 71% among Democrats.","paragraph_00104_01,chart_00146_02",Support
Is it true that Nigeria has both extremely low public support for same-sex marriage and a recent decline in favorable opinions toward the United Nations?,"True. The text evidence shows only 2% of Nigerian adults support same-sex marriage, indicating extremely low public support. The chart shows Nigeria's favorable views of the UN decreased from 78% in 2023 to 69% in 2024, confirming a recent decline.","chart_00252_02,paragraph_00094_02",Nigeria
"Is it true that in Peru, the majority of people express a favorable view of Brazil while simultaneously lacking confidence in Brazil's president?","True. According to the evidence, 58% of people in Peru have a favorable view of Brazil (from chart_00260_02) and 55% lack confidence in Brazil's president (from chart_00260_04). Both percentages exceed 50%, confirming the claim.","chart_00260_02,chart_00260_04",Peru
"Is it true that among White Evangelical Protestants, the proportion viewing the migrant influx at the U.S.-Mexico border as a crisis is more than three times the proportion wanting the U.S. to play a major diplomatic role in resolving the Israel-Hamas conflict in February 2024?","True. The migrant crisis chart shows 70% of White Evangelical Protestants view the border situation as a crisis, while the Israel-Hamas war chart shows 19% wanted major U.S. diplomatic involvement in February 2024. Since 70% exceeds three times 19% (57%), the claim is verified.","chart_00184_01,chart_00247_02",American Trends Panel
Is it true that Republicans demonstrate lower levels of support for political system enhancements and reduced confidence in electoral processes compared to Democrats based on recent national surveys?,"True. According to chart_00019_01, 25% of Republicans expressed strong support for additional political parties versus 35% of Democrats. Per chart_00146_02, 47% of Republicans were confident in election fairness in 2024 compared to 77% of Democrats.","chart_00019_01,chart_00146_02",Support
Is it true that White Evangelical Protestants in the U.S. expressed both strong support for Trump and a high level of concern regarding the migrant influx at the U.S.-Mexico border?,"True. 81% of White Evangelical Protestants would vote for Trump/lean Trump (chart_00224_02), and 70% viewed the migrant influx as a 'crisis' (chart_00184_01).","chart_00224_02,chart_00184_01",Protestant
Is it true that the percentage of adults in Taiwan who believe men and women are equally good political leaders is higher than the percentage of adults in Nigeria who hold a positive view of China while holding a negative view of Taiwan?,"True. The chart shows that 76% of adults in Taiwan believe men and women are equally good political leaders, while 22% of adults in Nigeria hold a positive view of China while holding a negative view of Taiwan.","paragraph_00006_02,chart_00194_02",Nigeria
Is it true that U.S. teens report a lower prevalence of cyberbullying specifically due to race or ethnicity compared to experiencing multiple forms of cyberbullying behavior?,"True. According to the evidence, 9% of U.S. teens reported cyberbullying due to race or ethnicity (from chart_00089_06), while 28% reported experiencing multiple types of cyberbullying (from chart_00089_05).","chart_00089_06,chart_00089_05",Political View Alignment
Is it true that the proportion of U.S. adults supporting a government ban on TikTok is nearly identical to the proportion who believe such a ban is likely to occur?,"True. The text evidence states 32% of Americans support a TikTok ban, while the chart shows 31% of U.S. adults believe a ban is likely. These values are approximately equal.","paragraph_00251_01,chart_00251_04",Valid TikTok Handle
