query,answer,gt_sources,start_candidates
"During the period of most rapid residential property value growth in a specific Pacific country between 2016 and 2021, was that country also developing a notable technology startup ecosystem as evidenced by the presence of well-funded ventures in the region?","Yes, New Zealand's period of most rapid residential property value growth between 2019-2021 coincided with the country developing a notable technology startup ecosystem as evidenced by Soul Machines being identified as a well-funded tech startup in the Asia-Pacific region.","[""test_000086"", ""test_001566""]",New Zealand
"From October 2022 to March 2023, did the average energy cost in the United States show an increasing or decreasing trend?",It increased.,"[""test_001728"", ""test_000318""]",Energy Cost Value
"Between 2019 and 2020, did the disparity in median average pay between genders at the BBC decrease or increase?",It decreased.,"[""test_001927"", ""test_000486""]",PA graphic
"In terms of political engagement patterns for Democrats, did the direction of change in social media activity by Democratic members of Congress in the most recent year of data compared to the previous year match the direction of change in early voting turnout for Democrats in Florida during the final week of October?","No, Democratic members of Congress showed a significant decline in social media activity in the most recent year compared to the previous year, while Democrats in Florida demonstrated an overall increase in early voting turnout during the final week of October.","[""test_000853"", ""test_000303"", ""test_001940""]",Democrat avg.
"During the 2020 pandemic period, which of the following experienced the most significant deviation from previous years' seasonal patterns: community safety incidents related to celebratory events, housing market activity, or marriage ceremonies?","Community safety incidents related to celebratory events experienced the most significant deviation from previous years' seasonal patterns, showing an unprecedented spike during the summer months of 2020.","[""test_000932"", ""test_000930"", ""test_000068""]",Time Period 2020
"From the mid-2010s to the early 2020s, how did the popularity trends of Instagram and Twitter among U.S. teens compare with their overall standing in the social media market?","Instagram's popularity among U.S. teens initially declined but later increased substantially, while Twitter's popularity among U.S. teens consistently declined. Both platforms maintained relatively stable positions in the overall social media market in 2018.","[""test_001207"", ""test_001132"", ""test_001476""]",Instagram
"Among voters who supported the National Party in the 2017 New Zealand election, did the level of support for the National Party increase or decrease following the selection of Ms. Collins as party leader?",The level of support for the National Party increased by 7 percentage points after Ms. Collins' selection as leader.,"[""test_001819"", ""test_000074""]","National voters 2017, post Ms Collins' selection as leader"
"Between September 2022 and January 2023, did the total number of initiatives aimed at optimizing energy consumption increase or decrease?","The number of initiatives increased from 2,634 to 3,203.","[""test_001728"", ""test_000318""]",Project Count
"During the period when government health spending as a share of economic output was growing most quickly across developed nations, what general pattern emerged in mortality rates for the leading cause of cancer deaths in the United States?",The mortality rate for the leading cause of cancer deaths initially rose substantially and then began to decline after reaching its highest point.,"[""test_000842"", ""test_000546""]",Our World in Data
"Between 2015 and 2017, how did the change in preference for Instagram as a social media platform compare to the change in preference for Facebook among U.S. teens, and what does this trend suggest about the platforms' relative positions in the teen market following Instagram's acquisition?","Instagram's preference decreased by 5 percentage points while Facebook's preference decreased by 3 percentage points, with Instagram maintaining higher preference than Facebook throughout the period.","[""test_001207"", ""test_000660""]",Facebook
