query,answer,gt_sources,start_candidates
"Among the main progressive political party in the North American nation with a presidential system of government, does the average daily issuance rate of administrative directives correlate with the volume of online communications in the year immediately before the global health crisis began, and does the time spent on official duties by a state executive in the final month of a year in the early 2010s exceed the annual average for that year?","No, the average daily issuance rate of administrative directives (0.2 per day) does not correlate with the volume of online communications (7,900) in the year immediately before the global health crisis began. Additionally, the time spent on official duties in the final month of the year in the early 2010s (120 hours) does not exceed the annual average (149.6 hours) for that year.","[""test_001215"", ""test_000853"", ""test_000862""]",Democratic Party
"Among years when the highest cinematic honor was awarded to a film depicting a deaf family, did the regulatory framework for commercial transactions predominantly involve conditions that were actively applied, and did the monetary contribution of minimally processed agricultural goods from a South Pacific island nation with a significant agricultural export sector exhibit an upward trajectory compared to the previous year?","No for the regulatory condition (43% of transactions used these conditions, below majority threshold), but yes for the export trend (value increased from the prior year).","[""test_001769"", ""test_000016"", ""test_001530""]",Fruit and vegetables
"Among financial institutions announcing significant earnings adjustments during the Northern Hemisphere mid-year period preceding widespread California wildfire events, did the proportional reallocation toward non-collateralized credit instruments coincide with a declining movement in an internationally traded agricultural commodity valuation metric?","Yes, the shift toward unsecured lending (credit cards increasing from 59% to 67% of portfolio) occurred simultaneously with a negative percentage change in the Global Dairy Trade Price Index during June 2017.","[""test_001871"", ""test_000517"", ""test_000044""]",% change in GDT Price Index from previous event (RHS)
"Among a former British territory in East Asia functioning as a global financial hub, during the pandemic-era period, did the following conditions co-occur: a significant risk assessment for the local residential property market, an underestimation of international tertiary education costs by families, and the presence of a prominent platform facilitating on-demand delivery services?",Yes,"[""test_001566"", ""test_001572"", ""test_000527""]",Hong Kong
"Among a Nordic nation with high social welfare standards that maintains a consistent perspective on its international standing, does a strong positive assessment of a global diplomatic organization correlate with broad societal acceptance of legal recognition for same-gender partnerships?","Yes, the nation shows 66% maintaining a consistent perspective on global influence, 81% positive assessment of the UN, and 92% total favor for same-sex marriage recognition.","[""test_000852"", ""test_001228"", ""test_001914""]",Sweden
"Among the demographic cohort that consistently identifies with right-leaning political views, as measured in the first data collection period of the year following the pandemic's initial wave, did the same cohort, in a subsequent survey conducted during the final months of that same year, express the most frequent view that the nation's international assistance to a European country under invasion is excessive?","Yes, 48% of the right-leaning political cohort expressed that the United States' international assistance to Ukraine was excessive in the November-December 2023 survey, which was the highest category among all response options for that demographic segment.","[""test_001788"", ""test_001007""]",Total U.S. Adults
"Among a North Atlantic island nation and its eastern neighbor, did the pattern of regional divergence in digital marketplace participation for leisure services during an early 2010s year correlate with the relative health outcomes observed at a specific summer data point during the global health crisis?","Yes. The North Atlantic island nation (Ireland) had a lower level of digital marketplace participation for leisure services (43% compared to 51% for the eastern neighbor) in 2013. On 8 August 2020, it also recorded a lower level of new confirmed cases per million (approximately 200 vs 400) than the eastern neighbor.","[""test_000037"", ""test_000488"", ""test_001428""]",Ireland
"Among the permanent members of the primary international body responsible for maintaining global peace, does the nation that is an island in Europe and was the seat of a global empire in the 19th century exhibit a downward economic trajectory following a major recession, a public perception that international standing has remained unchanged, and a predominant positive perception on marriage equality for same-gender couples?",Yes,"[""test_000759"", ""test_001867"", ""test_001914""]",United Kingdom
"Among countries in a major Eastern Hemisphere landmass identified as having high exposure to environmental hazards and demonstrating a moderate degree of endorsement for legal validation of same-sex partnerships in a global survey, does any nation's entrepreneurial sector include an online retail company with venture capital backing that has reached a significant capital raise threshold?","Yes, India meets all criteria with Jio (a digital commerce entity) having secured over $1 billion in equity funding.","[""test_000614"", ""test_001914"", ""test_000168""]",Asia
"During a period when a platform focused on temporary content sharing demonstrated a notable upward trajectory in preference among the younger demographic in North America, did a large Southeast Asian archipelago nation record a year-over-year downward shift in fire coverage, and was a neighboring city-state's housing market classified as having an elevated valuation status in the subsequent decade?","Yes. In 2016 (specifically by Sep'16), Snapchat's preference among US teens rose significantly (from 11% in 2015 to 47% by 2017). Indonesia experienced reduced fire coverage in 2016 compared to 2015, with 60% of fire alerts occurring outside concessions. Singapore's real estate market had an overvalued status (0.52) in the 2021 UBS Global Real Estate Bubble Index.","[""test_000602"", ""test_000251"", ""test_001572""]",2016
"Among port cities in a large island nation that is also a continent, for the urban center where energy expenditure per unit reached a local maximum during a period shortly before the global health crisis, did the average waiting time for maritime vessels exhibit an upward trajectory over the subsequent two financial years that was consistent with the national pattern?",Yes,"[""test_001879"", ""test_001386""]",Adelaide
"Among the export category encompassing living biological transport, what was the measurement for regulatory compliance in full ownership transfers during the period after the year marking the conclusion of the warmest recorded decade relative to pre-industrial baselines?",43,"[""test_001769"", ""test_001529"", ""test_000016""]",Meat
"Among nations that together account for over half of global carbon emissions and underwent governmental interference with electoral processes during the global health crisis period, does the historical gap in key societal development benchmarks between that nation and its more populous neighbor exceed six decades while the sector providing nationwide communication infrastructure secured venture capital investment at the highest disclosed tier?","Yes. The nation in question is one of the top three global carbon emitters, experienced electoral disruption during the pandemic period, has a 65-year time difference in life expectancy compared to its larger neighbor, and the leading telecommunications provider received over $1,000 million in venture capital funding.","[""test_000596"", ""test_001071"", ""test_000465"", ""test_000168""]",India
"Among the top nine nations serving as primary destinations for international adoption during the period spanning the turn of the millennium, which country that also demonstrated substantial annual venture capital investment expansion and maintained a high visitor-to-resident ratio exhibited the strongest collective endorsement for marriage equality?",Spain,"[""test_001394"", ""test_001381"", ""test_001045"", ""test_001914""]",Spain
"Among the population of a federal republic in North America during a year in the early 2020s when a notable share perceived the nation's international assistance to a European nation experiencing a military conflict as excessively generous, did the ambivalence regarding imposing restrictions on a popular short-form video application in the initial survey period exceed the share expressing this view of excessive foreign engagement, and did this ambivalence exhibit an upward shift in the subsequent months?","No, the initial ambivalence (28%) did not exceed the share expressing excessive foreign engagement (31%), and the ambivalence increased from 28% to 35% in the subsequent months.","[""test_001754"", ""test_001014""]",Total U.S. Adults
"Among European nations with a Mediterranean coastline and EU membership, when compared to their northern neighbor with a more substantial technology venture ecosystem, is there both a higher prevalence of a downward shift in international standing perception and a lower prevalence of resistance to legal recognition of same-gender unions?","Yes, the nation (Spain) has 37% perceiving a downward shift in international standing compared to 22% in its northern neighbor (Germany), and 10% resistance to legal recognition of same-gender unions compared to 18% in Germany.","[""test_000135"", ""test_000852"", ""test_001914""]",Spain
"Among a pair of English-speaking constitutional monarchies, one located in the Southern Hemisphere and the other in North America, during the year immediately preceding the global health crisis, does the nation exhibiting the more pronounced upward shift in residential property valuation also demonstrate a greater magnitude of domestic financial obligations relative to income, and which fossil fuel constitutes the largest share of the domestic energy mix in the southern nation?","No, the North American nation exhibited a stronger upward trajectory in residential property valuation while the Southern Hemisphere nation showed higher domestic financial obligations relative to income; oil constitutes the largest share of the domestic energy mix in the southern nation.","[""test_000086"", ""test_001301"", ""test_001398""]",Australia
"During the mid-2010s, a major company providing on-demand urban mobility solutions, headquartered in a Southeast Asian city-state, secured venture capital funding exceeding one billion US dollars. In the same period, what primary category of territorial designation was linked to the majority of fire notifications in the immediately neighboring maritime nation?",Outside concessions,"[""test_000168"", ""test_001357""]",2015
"Among geographic regions where a major international news outlet reported a monthly readership below the million threshold during the latter half of the pandemic year, and where societal division of caregiving roles exceeded a four-fold disparity in at least one constituent nation, did any government assessed as having partial political freedoms in the preceding year experience disruption to electoral processes?",Yes,"[""test_000995"", ""test_001441"", ""test_001535"", ""test_001072""]",South America
"Among voters aligned with the conservative party, does the downward shift in willingness to ascribe a major role to the national government in poverty alleviation as income levels rise accompany a widespread perception of minimal personal importance concerning the gender of the chief executive and a low incidence of undecided responses regarding limiting access to a platform for sharing brief video content?","Yes, the data shows a consistent downward trajectory in government intervention support across income brackets for poverty issues among conservative-aligned voters, while simultaneously 86% express minimal personal significance regarding presidential gender and only 21% remain undecided about restricting access to short-form video platforms.","[""test_001006"", ""test_001016"", ""test_001788""]",Rep/Lean Rep
"During the period two years after the global financial crisis, in the year when the private investment sector recorded a specific aggregate monetary value of transactions, did the proportion of deaths attributed to a neurological condition caused by impaired blood flow to the brain exceed that for a pulmonary condition not resulting from infectious agents, and did the housing market for temporary residence in a major European island nation during the subsequent years exhibit a seasonal peak in the early autumn months?","Yes, the death rate for cerebrovascular disease (106.9 per 100,000) exceeded that for noninfectious air diseases (44.6 per 100,000) in 2010, and UK rental market data shows peaks in September (autumn) across 2012-2015.","[""test_000555"", ""test_000548"", ""test_001636""]",Year 2010
"Among nations in Central Europe that maintained full democratic governance prior to the global health emergency and later implemented constraints on public gatherings and information dissemination channels during the crisis, does a prevalent assessment of significant security vulnerability from a nearby state align with a predominant inclination toward strategic partnership with a North American global power rather than an alternative continental power?","Yes, the evidence shows a strong correlation where 77% of respondents in the specified nation perceived a major security threat from the neighboring country while 76% expressed preference for strategic alignment with the North American power.","[""test_001481"", ""test_000552"", ""test_000156"", ""test_001072"", ""test_001071""]",Poland
"Among countries that are part of a cluster of nations sharing a common linguistic and cultural heritage in the northern part of the continent, which one had the highest proportion of women in its legislative body in the year preceding the global health crisis, along with near-universal coverage of state-provided health insurance by the mid-20th century, and also exhibited a very low level of societal resistance to legal recognition of same-sex unions in the years following the global health crisis?",Sweden,"[""test_001914"", ""test_001609"", ""test_000664""]",Sweden
"Among a Southeast Asian archipelago nation during a mid-2010s year, when uncontrolled combustion events were more widespread than the previous year and the predominant land use category for such events was outside corporate concessions, what was the concentration of wealth among the highest earners?",49.3%,"[""test_001356"", ""test_000482""]",2016
"Among urban centers classified as high-risk in a major financial institution's housing market instability assessment from the early 2020s, does the metropolitan area demonstrating rapid technology sector expansion alongside reduced operational expenses exhibit a pattern where the initial upward trajectory during a global health emergency significantly exceeded the following downward shift?","Yes, the city experienced a 49% growth from December 2019 to the market peak followed by a 15% decline from the peak to December 2023, making the initial growth more than three times the subsequent decline.","[""test_000017"", ""test_001468"", ""test_001925"", ""test_000019""]",Toronto
"In a Southeast Asian nation with a majority Muslim population and history of British colonial rule, does a moderate level of public confidence in innovative engineering and digital output correspond to a high extent of parental expectation of additional financial burden for overseas higher education, while also being associated with a perception of downward shift in global standing?","Yes. 38% of adults rate technological achievements as best/above average (moderate), the perceived cost gap is 338 percentage points (indicating high parental willingness to pay extra), and 28% of the public perceive the nation's global influence as getting weaker.","[""test_001619"", ""test_001437"", ""test_001867""]",Malaysia
"Among nations in Western Europe with advanced industrial sectors that also appear as regions in a commercial performance summary, what was the predominant direction of intergenerational support flow during the early autumn months of the early 2010s, when a government official recorded the least time spent on duties?",The predominant direction was from parents to adult children.,"[""test_000862"", ""test_001036"", ""test_000232""]",September
"Among metropolitan areas that achieved top-tier ranking in the latest global real estate bubble assessment while simultaneously demonstrating robust expansion in digital infrastructure employment with cost-competitive compensation structures, did the core urban zone exhibit a reduced magnitude of initial valuation acceleration relative to the wider administrative territory during the onset period of the worldwide health emergency?","Yes. Toronto (the city in question) showed 49% home price growth from December 2019 to the market peak, which was lower than the 71% growth in the rest of Ontario province, while ranking second in the 2021 UBS Global Real Estate Bubble Index with a score of 2.02 indicating high bubble risk.","[""test_001925"", ""test_001572"", ""test_000592""]",Toronto
"Among locations within a densely populated corridor along the eastern seaboard of North America that serve as major financial centers and host rapidly expanding technology sectors with elevated operational expenses, does the housing valuation metric from a prominent Swiss financial institution indicate a risk level below the threshold where significant market correction is typically anticipated, and does this pattern align with the regional demographic trend of delayed significant personal commitments?","Yes, the location in question shows a housing valuation metric of 0.54, which falls below the 1.5 threshold indicating bubble risk, and this aligns with the regional demographic pattern where states in this corridor exhibit above-average median ages for significant personal commitments.","[""test_001572"", ""test_001753"", ""test_001761""]",New York
"Among members of the demographic cohort born between the mid-1960s and early 1980s in the nation with the world's largest economy, which maintained a population size of approximately three-quarters of a million during the early 1990s and recently experienced substantial expansion in expenditures on social gatherings, what was the level of participation in interactive digital entertainment?",63 percent,"[""test_000993"", ""test_001096"", ""test_001458""]",Gen Xer
"Among individuals expressing alignment with right-leaning political perspectives, does the socioeconomic stratification correlate with divergence in perceived necessity of state intervention in economic security matters, and how does this pattern of ideological variation compare with the overall distribution of perspectives on whether faith in a supreme being constitutes a prerequisite for ethical conduct?","Among voters aligned with right-leaning political perspectives, those with lower socioeconomic standing demonstrate a significantly higher proportion supporting state intervention in economic security matters (74% vs 56% for strengthening the economy, 53% vs 24% for poverty alleviation across income brackets). This pattern of ideological variation contrasts with the overall moral perspective distribution, where 59% of right-leaning political affiliates indicate that belief in a supreme being is not necessary for ethical conduct, while 40% consider it essential.","[""test_001006"", ""test_000846""]",Rep/Lean Rep
"Among the demographic segment defined by female gender and absence of post-secondary academic credentials, does the level of adverse perception toward a prominent public official exceed that of the formally enrolled electoral cohort, and is this disparity maintained when examining the stance of individuals unaffiliated with dominant political blocs?","The adverse perception does not exceed that of the formally enrolled electoral cohort (both at 40%), but the unaffiliated demographic segment exhibits a lower level (35%).","[""test_001152"", ""test_000057"", ""test_001151""]",Negative Favorability
"During the pandemic period, when new hospitalizations in a country spanning the continent from Atlantic to Pacific were exhibiting an upward trajectory in autumn months, did a subnational administrative region characterized by sparse population distribution and earlier marital union formation experience a greater magnitude of upward shift in food insecurity compared to the overall national average for that country?","Yes, the state of Texas experienced a 39.8% increase in food insecurity during November 11-23 (2020), which exceeded the national average increase of 35.3% for the same period.","[""test_000721"", ""test_001888"", ""test_000417""]",United States
"Among urban centers that ranked highly in a public author tracking project's favorites metric and exhibited significant real estate market vulnerability, do they fall within the segment characterized by rapid technological job expansion and elevated wage levels?","Yes, the city that meets these criteria (Toronto) is classified in the high growth and high cost segment.","[""test_000266"", ""test_000017"", ""test_000139""]",Top Cities by Favorites
"Among urban centers in the continent containing the Great Lakes region that demonstrate rapid technology sector employment expansion with relatively modest compensation levels, does the residential real estate sector exhibit both a substantial upward valuation shift from the pre-crisis period to the highest valuation point and a subsequent downward trajectory, while also being assessed as having significant instability by a major financial institution's metric?",Yes,"[""test_001753"", ""test_001572"", ""test_000019""]",Toronto
"Among a Western European nation that achieved the third-highest score in a global health security assessment conducted just prior to the worldwide health emergency, does the proportion of the population with a negative perception of a major international diplomatic organization exceed the fraction viewing the nation's own global influence as diminishing, while also maintaining a high level of strong endorsement for legal recognition of same-sex unions?","Yes, the Netherlands had 26% negative perception of the UN and 19% viewing its global influence as diminishing, with 62% strong endorsement for same-sex marriage.","[""test_000600"", ""test_001228"", ""test_000852"", ""test_001914""]",Netherlands
"Among democratic nations across distinct continents, during a year in the latter half of the 2010s when a major electoral contest occurred in a large South Asian democracy, did the opening quarter in a North American federal republic demonstrate a substantial upward shift in incidents targeting a religious minority with historical roots in the Levant, while the same year in a region within a European constitutional monarchy exhibited a growth trajectory in prejudice-motivated events, and did the electoral outcome reveal a divergence in voter alignment based on settlement patterns?",Yes,"[""test_000495"", ""test_000202"", ""test_000506"", ""test_001827""]",2017
"Did the year before the pandemic period include both a cinematic release with an extended runtime compared to its series predecessors and a higher volume of social media references to a major eastern continent by the center-left political faction compared to the pandemic year, and was there also a date in the autumn of the pandemic year when this faction's early voting turnout was lower than the opposing faction in a state with a significant elderly population that is often pivotal in national elections?",Yes,"[""test_001661"", ""test_000303"", ""test_001719""]",Democrat
"Among island nations in the South Pacific archipelago exhibiting a pronounced imbalance in uncompensated household responsibility allocation, which one simultaneously demonstrates financial viability in commercial discount strategy assessment and maintains the smallest monthly reach among premier audience segments for a prominent global news provider?",New Zealand,"[""test_001535"", ""test_000166"", ""test_000995""]",Oceania
"Among societies with substantial per capita financial resources within the world's most expansive landmass, does the nation operating under an imperial governance structure exhibit a significant discrepancy between its economic prosperity and societal receptiveness to non-traditional partnership frameworks?","Yes, the nation in question (Japan) shows $197.6K average wealth per person while maintaining 26% combined opposition to legal recognition of same-sex marriage, indicating a moderate level of social resistance despite high economic development.","[""test_001364"", ""test_001914"", ""test_000995""]",Asia
"Among sovereign states categorized as having constrained political freedoms that experienced simultaneous limitations on legislative functionality and press freedoms during a worldwide health emergency, did the per-person greenhouse gas outputs in the year preceding a contentious transatlantic electoral transition fall below the collective average of a continental economic integration organization, while international agricultural pricing metrics showed notable volatility in the preceding decade?","Yes. The nation in question had per-person greenhouse gas outputs of 4.5 metric tons in the specified year, which was below the 7.7 metric tons average of the European economic bloc. The World Bank data shows significant volatility in agricultural commodity pricing during the decade prior to the reference year.","[""test_000109"", ""test_000902"", ""test_001071""]",Turkey
"Among nations with extensive coastal regions in Western Europe that ranked highly in pre-2020 health security assessments, did those with predominant views of stable global influence demonstrate notably higher endorsement of relationship recognition reforms compared to the worldwide median?","The Netherlands ranked third in pandemic preparedness with a score of 75.6, had 60% of its population perceiving stable global influence, and demonstrated 89% support for legal same-sex marriage, which was significantly above the global median of approximately 67% across surveyed nations.","[""test_000600"", ""test_000852"", ""test_001914""]",Netherlands
"Among nations positioned in the upper quartile of comprehensive environmental performance metrics that also demonstrate over 90% collective endorsement for legal recognition of partnerships between individuals of the same gender, does the share holding positive perceptions of the principal global diplomatic organization surpass the central tendency observed across all surveyed polities?","Yes, the Scandinavian nation with a sustainability score of 74.42 demonstrates 92% total endorsement for partnership recognition between same-gender individuals and 81% positive perception of the international diplomatic body, exceeding the 24-nation median of 63%.","[""test_001228"", ""test_001914"", ""test_000756""]",Sweden
"Among energy sources used for electricity generation in a large North American nation during a mid-2010s year, did a source that was among the two largest contributors in the national grid also rank first in the energy consumption breakdown of a major social media platform's operations in the same year?","No, because the top two sources in the national grid (coal and natural gas, each at 33%) were not the top source in the social media platform's operations, where clean and renewable energy held the highest proportion (35%).","[""test_000774"", ""test_001503"", ""test_000699""]",Petroleum
"Among governments classified as having full political rights and civil liberties in the central European region, does the implementation of measures such as restrictions on public assembly and detentions during the global health crisis period beginning in early 2020 coincide with a majority population view of a significant military threat from a large eastern neighbor?","Yes. Poland was classified as having full democratic freedoms, implemented restrictions on public assembly and detentions during the pandemic, and 77% of its population perceived Russia as a major military threat.","[""test_000552"", ""test_000156""]",Poland
"Among a large state on the Pacific coast of North America that had a youth suicide rate below the average across the broader region during the initial two-year observation window and that experienced a significant wildfire event in the latter part of the 2010s, did the proportion of school-aged children with dental decay exceed two-thirds in the middle years of the 2010s?",Yes,"[""test_001560"", ""test_000044"", ""test_001107"", ""test_000497""]",California
"Among a nation in the South Asian region that maintained full political rights and civil liberties while simultaneously implementing constraints on independent journalism during the period of widespread global health emergency and lockdown measures, did the lowest socioeconomic demographic experience a substantial population expansion?","Yes, the lowest income tier (living on $2 or less daily) expanded by 75 million people during the 2020 global recession.","[""test_001071"", ""test_000552"", ""test_001549""]",India
