query,answer,gt_sources,start_candidates
"Among U.S. voters, does the slight underrepresentation of Hispanic Catholic voters among Democratic supporters compared to their share of the general electorate align more with their near-even political preferences between presidential candidates or with their views on immigration policy regarding jobs Americans would like to have?",The slight underrepresentation of Hispanic Catholic voters among Democratic supporters aligns more with their near-even political preferences (49% supporting Biden/lean Biden versus 47% supporting Trump/lean Trump) than with their views on immigration policy.,"[""chart_00224_02"", ""chart_00237_02"", ""chart_00159_04""]",Hispanic Catholic
"Among the surveyed Asian societies, does Hong Kong's equal division between maintaining traditional ways of life and being open to cultural change suggest a more complex relationship with external cultural influence compared to a society where a majority perceives that external power as a major geopolitical threat?","Yes, Hong Kong's equal split (49% each) between maintaining traditions and being open to cultural change suggests a divided perspective on cultural identity and a more nuanced relationship with external influence, while Taiwan's 66% perception of China as a major threat indicates a more unified concern about geopolitical influence.","[""chart_00137_03"", ""chart_00056_04""]",Oregon
"In Indonesia, does the Christian minority's significantly higher belief that religious diversity enhances quality of life compared to the general population indicate that religious affiliation shapes societal views on diversity's benefits?","Yes, 67% of Indonesian Christians believe religious diversity makes the country a better place to live compared to 50% of the general population, demonstrating that religious affiliation influences perceptions of diversity's societal impact.","[""chart_00091_02"", ""chart_00204_04"", ""paragraph_00035_02""]",Buddhism
"Among U.S. adults, is the percentage of Republicans and Republican leaners who consider the Russia-Ukraine war important to U.S. national interests lower than the overall percentage of U.S. adults who consider it important to their personal interests?",No,"[""chart_00189_05"", ""chart_00175_01""]",Russia-Ukraine War
"Among White Evangelical Protestants, does the high level of concern about border security issues correlate with a higher likelihood of supporting U.S. diplomatic engagement in resolving international conflicts?","No, White Evangelical Protestants show high concern about border security issues (70% view migrant influx as a crisis) but have low support for U.S. diplomatic involvement in the Israel-Hamas conflict (19% in February 2024), indicating no correlation between these views.","[""chart_00184_01"", ""chart_00247_02""]",American Trends Panel
"In 2023, did U.S. adults exhibit similar levels of uncertainty when evaluating the impact of emerging economies on their country compared to their stance on a government ban on TikTok?","Yes, 35% of U.S. adults expressed no clear opinion on the impact of emerging economies, and 35% were unsure about supporting a TikTok ban, indicating similar levels of uncertainty.","[""chart_00111_06"", ""chart_00210_04""]",Don't know/refused and other volunteered responses
"Among Asian American adults, is the percentage with a favorable view of their ancestral homeland higher for those of Taiwanese descent than for those of Vietnamese descent, despite ancestor rituals being more commonly practiced in Vietnam compared to Taiwan?","Yes, 95% of Taiwanese American adults have a favorable view of Taiwan compared to 59% of Vietnamese American adults for Vietnam.","[""paragraph_00128_02"", ""chart_00261_04"", ""chart_00103_07""]",Survey of Asian American adults
"In Indonesia during the 2022 survey, how did the percentage of the majority religious group reporting that religious diversity improves quality of life compare to the national average for the same perception?",The percentage for the majority religious group was nearly identical to the national average (49% vs 50%).,"[""chart_00091_02"", ""chart_00204_04"", ""paragraph_00091_05""]",Buddhists
"Among Black adults in the United States in 2023, does the high prevalence of the view that people not recognizing racial discrimination where it exists is the bigger problem imply that a majority believe the American Dream is unattainable for them?","No, because only 33% of Black adults believe the American Dream is out of reach for them, while 88% hold the view on racial discrimination, meaning the majority do not consider it unattainable.","[""paragraph_00021_01"", ""chart_00129_04""]",Year 2023
"In Nigeria, does the combination of high community cohesion and low support for LGBT rights suggest a relationship between strong communal bonds and conservative social attitudes?","Yes, 91% of Nigerians report feeling close to people in their local community while only 2% support same-sex marriage, indicating that high community cohesion correlates with conservative social attitudes in Nigeria.","[""paragraph_00094_02"", ""chart_00228_01""]",Nigeria
"Considering Nigeria's internet usage rate, declining views toward international institutions, and attitudes toward minority rights, does the country demonstrate a pattern where technology adoption is not accompanied by corresponding social liberalization?","Yes, Nigeria's moderate internet usage rate (57%) does not align with progressive social attitudes, as evidenced by declining views toward international institutions (69% favorable view of the UN in 2024, down from 78% in 2023) and extremely conservative attitudes toward minority rights (only 2% support same-sex marriage).","[""chart_00068_02"", ""chart_00252_02"", ""paragraph_00094_02""]",Nigeria
"Between 2019 and 2022, did the growth in the total number of unauthorized immigrants in the U.S. workforce coincide with a period where those born in Mexico no longer represented a majority of this population?","Yes, the number of unauthorized immigrants in the workforce increased from 7.8 million in 2019 to 8.3 million in 2022, while Mexicans constituted less than half of the unauthorized immigrant population during this period despite remaining the largest single origin group.","[""chart_00142_06"", ""chart_00142_04""]",Asian voters
"Among South and Southeast Asian countries surveyed between 2019 and 2022, does the nation with the highest religious diversity also have the lowest percentage of adults who view adherence to the majority religion as very important for national identity?",Yes,"[""chart_00013_02"", ""chart_00013_03""]",Perception in 2023
"Among U.S. adult TikTok users, does the majority opposition to banning the platform align with their perception that such a ban is unlikely to be implemented?","Yes, 61% of U.S. adult TikTok users oppose a ban while 54% believe it is unlikely to occur, indicating alignment between opposition and perceived unlikelihood.","[""paragraph_00251_03"", ""chart_00251_04""]",Valid TikTok Handle
"Among religious groups in the United States, does higher concern about the societal impact of declining marriage rates compared to declining birth rates correlate with a lower proportion of Democratic voters?","Yes, religious groups with higher concern about declining marriage rates relative to birth rates generally have a lower proportion of Democratic voters compared to their share among all voters.","[""chart_00042_01"", ""chart_00159_04""]",American Trends Panel
"Among states with the lowest percentage of Black eligible voters (0-5%), is the unauthorized immigrant population typically under 25,000?","Yes, all states with 0-5% Black eligible voters have unauthorized immigrant populations under 25,000.","[""chart_00053_04"", ""chart_00142_05""]",Alaska
"Among White Evangelical Protestants in the United States, does their strong concern about domestic border issues and relatively low support for U.S. diplomatic involvement in international conflicts correspond to their underrepresentation among Democratic voters?","Yes, with 70% of White Evangelical Protestants viewing border issues as a crisis and only 19% supporting a major U.S. role in resolving the Israel-Hamas war, their policy preferences correspond to their underrepresentation among Democratic voters (5% among Democrats vs 17% among all voters).","[""chart_00184_01"", ""chart_00247_02"", ""chart_00159_04""]",American Trends Panel
"Between 2023 and 2024, did the decline in public favorability toward the Supreme Court coincide with a significantly higher proportion of Democrats than Republicans perceiving the Court as holding excessive power?","Yes, favorable views of the Supreme Court dropped to 44% in 2023 (the lowest point in over three decades), while in 2024, 62% of Democrats believed the Court had too much power compared to 23% of Republicans.","[""chart_00103_04"", ""chart_00153_04""]",U.S. Adults (18+)
"Among countries surveyed in spring 2023, is there a correlation between higher internet usage rates and more favorable perceptions of other nations based on the relationship between internet access and views toward Taiwan?","Yes. South Korea (99% internet usage) and Australia (94% internet usage) report 75% and 70% favorable views of Taiwan respectively, both exceeding the 48% median, while India (56% internet usage) shows a negative view of Taiwan.","[""paragraph_00006_01"", ""chart_00068_02""]",Nigeria
"Among White Catholic voters, does the predominant view that the migrant influx at the U.S.-Mexico border constitutes a crisis correspond with their lower representation in the Democratic-leaning voter base compared to all registered voters?","Yes, 64% of White Catholic voters view the migrant influx as a crisis, and they constitute 11% of Democratic-leaning voters compared to 14% of all registered voters.","[""chart_00184_01"", ""chart_00159_04""]",White Catholic
"In France, did the decline in favorable views toward the European Union between 2019 and 2024 coincide with a similar decline in attitudes toward the United Nations, suggesting a broader pattern of decreasing support for international institutions?","Yes, favorable views of the European Union in France declined by 15 percentage points (from 67% to 52%) between 2022 and 2024, while favorable views of the United Nations declined by 9 percentage points (from 62% to 53%) between 2023 and 2024.","[""chart_00112_02"", ""chart_00252_02""]",France
"Among U.S. registered voters surveyed in 2024, how does the perception that undocumented immigrants fill jobs that citizens don't want differ between White voters and other racial groups, particularly considering the long-term demographic composition of the undocumented immigrant population in the United States?",White voters (75%) have a perception that undocumented immigrants fill jobs citizens don't want that is higher than Black voters (71%) but lower than Hispanic (79%) and Asian (90%) voters.,"[""chart_00142_04"", ""paragraph_00237_02""]",White voters
"In 2023, for the public in Poland and Hungary, how does the percentage who believe the United States contributes to global peace and stability relate to the percentage who express confidence in the U.S. president, given that views of the president's handling of international issues are strongly related to overall confidence in the president?","A strong positive correlation exists: in Poland, 85% believe the U.S. contributes to global peace and stability and 83% express confidence in the president; in Hungary, 34% believe the U.S. contributes to global peace and stability and 19% express confidence in the president.","[""paragraph_00120_06"", ""chart_00017_03""]",Oregon
"In countries where internet usage exceeds 90% of the population, does social media usage consistently remain above 50%, and does France follow this pattern?","Yes, because all countries with internet usage above 90% have social media usage above 50%, and France has 92% internet usage and 67% social media usage.","[""chart_00187_01"", ""chart_00068_02""]",France
"In Indonesia, does the Christian population's perspective on religious diversity's effect on quality of life demonstrate a stronger positive association compared to both Muslim communities and the national average, and what does this suggest about religious affiliation's role in shaping diversity attitudes?","Yes, 67% of Indonesian Christians believe religious diversity improves quality of life, which is 17 percentage points higher than Muslims (49%) and 17 points higher than the national average (50%), indicating Christian affiliation correlates with more favorable views toward religious diversity in Indonesia.","[""chart_00091_02"", ""chart_00204_04""]",Christians
"In Nigeria between 2022 and 2023, does the percentage of adults who believe social media positively impacts democracy exceed the percentage who use social media platforms, and what does this disparity suggest about the relationship between usage and public perception?","Yes, 77% of Nigerian adults believe social media positively impacts democracy compared to 55% who use social media platforms, indicating that positive perception of social media's democratic benefits is not directly correlated with actual usage rates.","[""paragraph_00178_01"", ""chart_00187_01""]",Nigeria
"In 2023, did the historically low public approval of a major federal judicial institution coincide with strong public support for implementing structural reforms targeting that institution?","Yes, the 54% public approval of the Supreme Court in 2023 coincided with 74% of U.S. adults supporting age limits for its justices.","[""chart_00103_04"", ""chart_00012_01""]",Survey Data from Pew Research Center's Center Phone Surveys
"In France, does the decline in public support for the European Union from 2022 to 2024 align with a similar decline in support for the United Nations from 2023 to 2024, indicating a broader shift in attitudes toward international institutions?","Yes, public support for the European Union declined by 15 percentage points from 2022 to 2024, while support for the United Nations declined by 9 percentage points from 2023 to 2024, indicating a consistent downward trend in favorability toward international institutions in France during this period.","[""chart_00112_02"", ""chart_00252_02""]",France
"Among religious groups where concern about societal changes related to marriage decline exceeds concern about falling birth rates, is the representation of Catholic Americans among Democratic voters higher or lower than their proportion in the general voter population?","Lower, with 20% of Democratic voters identifying as Catholic compared to 22% of all voters.","[""chart_00042_01"", ""chart_00159_04""]",American Trends Panel
"Among Protestant subgroups in the United States, do those who place greater importance on judicial appointments in presidential elections also express higher levels of concern about the societal impact of declining marriage rates?","Yes, White Evangelical Protestants, who are more likely to prioritize judicial appointments in presidential elections (62%), express higher concern about the societal impact of declining marriage rates (55%) compared to Mainline Protestants (42%) and Historically Black Protestants (34%).","[""chart_00042_01"", ""chart_00253_04""]",Protestant
"Among countries with widespread acceptance of LGBTQ+ rights, does higher social acceptance generally correspond with more favorable views of international organizations like the United Nations?","Yes, there is a general positive correlation between social acceptance of LGBTQ+ rights and favorable views of the United Nations, with countries showing higher acceptance tending to have higher UN favorability (e.g., Sweden with 92% acceptance has 76% UN favorability, Netherlands with 89% acceptance has 72% UN favorability, Germany with 80% acceptance has 61% UN favorability).","[""paragraph_00094_02"", ""chart_00252_02""]",Nigeria
"Among Asian adults in the United States, does the perception that racial discrimination in hiring is a major problem align with the belief that economic hardship makes the American dream unattainable, given that nearly half perceive discrimination as a significant issue while those experiencing poverty express strong doubts about achieving the American dream?","Yes, 49% of Asian adults perceive racial discrimination in hiring as a major problem, while 47% of Asian adults living below the poverty line believe the American dream is out of reach, suggesting a potential alignment between these perceptions.","[""chart_00028_07"", ""chart_00203_09""]",Asian Respondent Definition
"Among European countries surveyed in 2023, does France, which administers overseas territories leading to multiple time zones, have a higher percentage of adults identifying as atheist compared to Germany, the United Kingdom, and Sweden?","Yes, France has 23% of adults identifying as atheist, which is higher than Germany (8%), the United Kingdom (12%), and Sweden (18%).","[""paragraph_00078_06"", ""chart_00070_05""]",2023 Global Attitudes Survey
"In the 2023 survey of adults in East Asia and Vietnam, how does the rate of burning incense for ancestor rituals in Vietnam compare to the highest rate observed in any East Asian place, and what does the high participation among Vietnamese Christians despite the general religious trend suggest about the cultural significance of these rituals in Vietnam?","The rate in Vietnam is nearly all, which is higher than Taiwan's 81% (the highest among East Asian places). The high participation among Vietnamese Christians, despite Christians generally being less likely to engage in such rituals, suggests that ancestor rituals are deeply embedded in Vietnamese culture.","[""chart_00261_04"", ""paragraph_00128_02""]",Survey of Asian American adults
"Among Black adults in the United States, does the widespread belief that people not recognizing racial discrimination where it exists is the bigger problem correspond to a majority holding the view that achieving the American dream is unattainable for them?","No, 88% of Black adults believe people not recognizing racial discrimination where it exists is the bigger problem, while only 33% believe achieving the American dream is unattainable for them.","[""paragraph_00021_01"", ""chart_00129_04""]",Year 2023
"Among public K-12 teachers, do high school educators who report the highest prevalence of student cellphone distractions also experience lower levels of job overwhelming compared to their elementary and middle school counterparts?","Yes, high school teachers report the lowest job overwhelming (58%) compared to elementary (75%) and middle school teachers (69%), despite 72% citing cellphone distractions as a major problem.","[""chart_00262_10"", ""chart_00262_06""]",Rounding adjustment
"Between 2021 and 2023, as public apprehension toward artificial intelligence in everyday contexts increased, did U.S. adults with college degrees demonstrate a more favorable perception of AI's role in helping people find products and services online compared to those with less education?","Yes. In 2023, 60% of college degree holders viewed AI as helpful for finding products and services online, compared to 44% of those with some college or less, despite the overall percentage of adults more concerned than excited about AI rising from 37% to 52% during this period.","[""chart_00025_01"", ""chart_00025_04""]",Respondents who did not give an answer
Does the higher level of skepticism toward expert opinions among Republicans compared to Democrats help explain the growing partisan divide in views on climate change as a critical issue?,"Yes, because 44% of Republicans versus 17% of Democrats express skepticism toward expert opinions, and the partisan gap in viewing climate change as a major threat widened from 36 percentage points in 2009 to 55 points in 2022.","[""chart_00169_02"", ""chart_00004_06""]",Don't know/refused and other volunteered responses
"In countries where pluralities of adults hold favorable views of Taiwan, such as France, does this international perspective align with the predominant self-identification among people in Taiwan as primarily Taiwanese rather than Chinese?","Yes, because pluralities in France hold favorable views of Taiwan while 67% of Taiwanese adults identify primarily as Taiwanese, showing alignment between external perceptions and internal identity.","[""paragraph_00006_02"", ""paragraph_00056_02""]",France
"In Indonesia, does the perception that diversity has a positive effect on the country align with attitudes toward LGBT rights?","No, 50% of Indonesian adults view diversity as having a positive effect while 92% oppose same-sex marriage legalization, indicating no alignment between these attitudes.","[""chart_00091_02"", ""paragraph_00094_02""]",France
"Among Black Protestant adults in the United States, does the widespread belief that violence in home countries drives migration lead to the perception that the current level of migration constitutes a crisis?","No, because 72% of Black Protestant adults believe violence in home countries is a major reason for migrant influx, but only 32% view the migrant influx as a crisis.","[""chart_00184_01"", ""chart_00184_02""]",Protestant
"Among Protestant subgroups in the United States, does a higher perception of immigration as a national crisis correspond to greater likelihood of considering immigration a key factor in voting decisions for the 2024 presidential election?","Yes, White evangelical Protestants who perceive immigration as a crisis (70%) are more likely to consider it a key voting issue (79%) compared to Black Protestants (32% crisis perception, 45% voting importance), indicating a positive correlation between crisis perception and voting importance across these Protestant subgroups.","[""chart_00253_04"", ""chart_00184_01""]",Protestant
"Among U.S. adults, does the high level of agreement among Asian adults that undocumented immigrants fill jobs American citizens don't want correlate with their relatively high level of pessimism about the country's ability to ensure racial equality compared to White and Hispanic adults?","No, there is no direct correlation. Asian adults show the highest agreement (90%) that undocumented immigrants fill jobs American citizens don't want, yet they also show higher pessimism (49%) about racial equality compared to White (43%) and Hispanic (44%) adults. However, Black adults show lower agreement (71%) on the immigration issue but similar pessimism (51%) about racial equality, suggesting these views may not be directly connected.","[""paragraph_00237_02"", ""paragraph_00040_01""]",Asian voters
"In Spring 2024, among Peruvians, does a majority expressing a favorable view of Brazil as a nation coexist with a majority expressing skepticism toward its leadership, indicating a distinction between perceptions of the country and its governance?","Yes, 58% of Peruvians held a favorable view of Brazil while 55% expressed no confidence in Brazil's president, demonstrating this coexistence.","[""chart_00260_02"", ""chart_00260_04""]",Peru
"Does France, a country with high internet penetration, demonstrate a correlation between digital connectivity including social media usage and public support for progressive social policies such as same-sex marriage?","Yes, France demonstrates a correlation with 92% internet usage, 67% social media usage, and 82% support for same-sex marriage, indicating alignment between digital connectivity and progressive social attitudes.","[""chart_00187_01"", ""chart_00068_02"", ""paragraph_00094_02""]",France
"Considering the consistent perspective among Asian voters that undocumented immigrants predominantly fill positions that U.S. citizens are not seeking, and given the significant demographic transformation in the unauthorized immigrant population with Mexico's representation declining substantially since 2007 while other countries' contributions have grown, does this demographic evolution correspond with Asian voter perceptions regarding the economic role of unauthorized immigrants?","No, the demographic evolution does not correspond with Asian voter perceptions, as their consistent 90% view that undocumented immigrants fill jobs citizens don't want remains unchanged despite Mexico's share declining from 6.9 million (63%) in 2007 to 4.0 million (37%) in 2022, while immigrants from other countries increased from 4.1 million to 6.9 million during the same period.","[""paragraph_00237_02"", ""chart_00142_04""]",Asian voters
"In all countries where public support for same-sex marriage rights is below 10%, is internet usage above 50%?","Yes, internet usage is above 50% in all countries with public support for same-sex marriage rights below 10%.","[""paragraph_00094_02"", ""chart_00068_02""]",Nigeria
"Among Asian adults in the United States as of late 2022 to mid-2023, does the prevalence of perceiving racial and ethnic bias in hiring as a systemic barrier align with the proportion of economically disadvantaged individuals who believe the American dream is unattainable, suggesting a potential relationship between structural inequities and socioeconomic outcomes?","Yes, 49% of Asian adults perceive racial and ethnic bias in hiring as a major problem, while 47% of Asian adults living below the poverty line believe the American dream is out of reach, indicating a potential alignment between perceived systemic barriers and economic hardship.","[""chart_00028_07"", ""chart_00203_09""]",Asian Respondent Definition
"Among White Evangelical Protestants in the United States, does their high level of concern about societal trends related to family structure correlate with their attribution of migrant influxes to U.S. immigration policies rather than international factors like violence in home countries?","Yes, White Evangelical Protestants show 55% viewing declining marriage rates as a negative impact and 74% attributing migrant influxes to U.S. immigration policies, while only 50% cite violence in home countries as a major reason, indicating a stronger focus on domestic policy factors over international circumstances.","[""chart_00042_01"", ""paragraph_00184_02""]",Protestant
"In U.S. national surveys conducted between 2021 and 2024, which topic showed a greater proportion of respondents expressing uncertainty: the perceived impact of emerging economies on their country's future or the ethical considerations surrounding brain-computer interface technologies?",The perceived impact of emerging economies showed a greater proportion of respondents expressing uncertainty (35% in the U.S.) compared to brain-computer interface technologies (maximum 32% for any application).,"[""chart_00111_06"", ""chart_00064_02""]",Don't know/refused and other volunteered responses
"Given that China and India have fewer than one centenarian per 10,000 people while the United States has three per 10,000, is the proportion of centenarians among U.S. immigrants from these countries likely to be higher or lower than the U.S. average?",Lower,"[""paragraph_00266_01"", ""paragraph_00051_02""]",2023 Global Attitudes Survey
"Among U.S. adults, is there a positive correlation between concern about the migrant influx at the U.S.-Mexico border and confidence in climate scientists' understanding of effective climate change solutions?","No, groups expressing higher concern about the migrant influx (e.g., White evangelical Protestants at 70%) show lower confidence in climate scientists' understanding of effective solutions (e.g., Republicans at 4% 'Very well' for best ways to address climate change).","[""chart_00184_01"", ""chart_00077_02""]",Political View Alignment
"Among U.S. adults surveyed in 2022-2023, how do the prevalence of concerns about domestic economic issues, views on international economic changes, and perceptions of climate change compare, and what does this suggest about the relative prioritization of these issues in the public consciousness?","U.S. adults prioritize domestic economic concerns over climate change and international economic changes, as evidenced by 60-61% being significantly bothered by tax fairness issues, compared to 54% viewing climate change as a major threat and only 39% viewing emerging economies gaining global influence positively.","[""chart_00111_06"", ""chart_00004_06"", ""chart_00213_02""]",Don't know/refused and other volunteered responses
"Considering the methodological differences between probability-based and self-selected online surveys, why do the results for young adults' views on historical events differ significantly between the American Trends Panel and opt-in polls?","Because the American Trends Panel uses probability-based sampling to achieve representative results, showing only 3% of young adults believe the Holocaust is a myth, while opt-in polls suffer from self-selection bias that produces misleadingly high results of 20%.","[""chart_00186_04"", ""paragraph_00062_03""]",American Trends Panel
"In societies where religion is reported to be very important and community connection is strong, how does the level of social media engagement compare with countries where religion plays a less significant role, and what might this suggest about the relationship between traditional community structures and digital participation?","In Nigeria, where religion is very important to nearly all adults and community connection is strong, social media usage is moderate compared to countries where religion plays a less significant role like Sweden, suggesting that strong traditional community structures may coexist with moderate digital engagement rather than being replaced by it.","[""chart_00228_01"", ""chart_00187_01"", ""paragraph_00094_05""]",Nigeria
Does the country with greater religious diversity between Singapore and Thailand exhibit a higher level of acceptance toward minority religions as measured by the percentage of adults who believe multiple minority faiths are compatible with national culture?,Yes,"[""chart_00013_02"", ""paragraph_00091_03""]",Buddhism
"In Taiwan, does the pattern of gender differences in views on U.S. influence as a threat correspond with the gender differences observed in perspectives on traditional child care responsibilities?","No, because while there is a gender difference in views on U.S. influence as a threat (with women more likely to perceive it as a major threat), there is no gender difference in views on women's primary responsibility for child care.","[""paragraph_00099_04"", ""chart_00177_03""]",Nigeria
"Among U.S. adults who identify as Democrats or leaning Democrats, does the relationship between education level and preference for community type align with the relationship between education level and belief in scientists' understanding of climate change?","Yes, the patterns align, with higher education levels among Democrats correlating with both greater preference for walkable communities and stronger belief in scientists' understanding of climate change.","[""chart_00002_06"", ""chart_00077_03""]",Survey Data from Pew Research Center's Center Phone Surveys
"Among East Asian countries surveyed for both political leadership views and social media usage, does a higher prevalence of views supporting gender equality in political leadership tend to correspond with higher or lower rates of social media adoption?","Lower rates of social media adoption. Japan demonstrates higher agreement (86%) that men and women make equally good political leaders but has lower social media usage (75%) compared to South Korea, which shows slightly lower agreement (80%) but higher social media usage (80%).","[""chart_00194_02"", ""chart_00187_01""]",France
"Among countries where social media usage rates are very close to internet usage rates, does Nigeria's public assessment of social media's impact on democracy demonstrate a stronger positive perception compared to countries with larger gaps between these two metrics?","Yes, Nigeria demonstrates a strong positive perception of social media's impact on democracy while having social media usage rates nearly identical to internet usage rates, suggesting a relationship between closely aligned digital adoption metrics and favorable democratic assessments.","[""chart_00187_01"", ""paragraph_00178_01""]",Nigeria
"Between U.S. adults who use TikTok and those who do not, which group shows greater support for a ban on the platform, and does this same group also perceive a higher likelihood of such a ban being implemented?",Non-users have higher support for a ban and perceive a greater likelihood of it being implemented.,"[""paragraph_00251_03"", ""chart_00251_04""]",Valid TikTok Handle
