query,answer,gt_sources,gt_entities,start_candidates,type
"Between 2023 and 2024, did the decline in public favorability toward the Supreme Court coincide with a significantly higher proportion of Democrats than Republicans perceiving the Court as holding excessive power?","Yes, favorable views of the Supreme Court dropped to 44% in 2023 (the lowest point in over three decades), while in 2024, 62% of Democrats believed the Court had too much power compared to 23% of Republicans.","[""chart_00103_04"", ""chart_00153_04""]","[""U.S. Adults (18+) (L2)"", ""Political views (L1)""]","[""U.S. Adults (18+)""]",analysis
"Black Americans participated in a 2023 survey on news coverage. This survey measured the percentage who say it is extremely important for journalists to cover all sides of issues. This same survey also assessed the percentage of Black adults who believe local journalists are in touch with their community. Within this context, the survey further examined opinions on the necessity of Black journalists covering race-related topics. What is the percentage-point difference between those who consider it extremely important for journalists to cover all sides of issues and those who believe local journalists are in touch with their community, and what percentage say it is crucial for news about race to come from Black reporters?","The percentage-point difference is 18, with 76% considering it extremely important for journalists to cover all sides of issues and 58% believing local journalists are in touch with their community; 40% say it is crucial for news about race to come from Black reporters.","[""chart_00173_05"", ""chart_00081_03"", ""chart_00173_07""]","[""Black Americans"", ""journalists covering all sides"", ""local journalists in touch"", ""news about race from Black reporters""]","[""Survey Date: Sept. 16-22, 2024""]",long
"For Nigeria, given the significant decline in economic situation ratings between 2023 and 2024, does the country have a higher or lower percentage of people feeling close to others in their local community compared to the 24-country median?",Nigeria has a higher percentage of people feeling close to others in their local community (91%) compared to the 24-country median (78%).,"[""chart_00114_02"", ""chart_00228_01""]","[""Economic situation rated as good (2023)"", ""People in their local community""]","[""Nigeria""]",easy
"Among Asian adults living in poverty, a significant portion believe the American Dream is out of reach, while those living above the poverty line report a lower percentage holding this view. This difference in perception between the two economic groups is combined with the percentage of Asian adults who do not consider racial bias a problem in hiring. The resulting sum is then subtracted from the percentage of Asian adults who reported taking on leadership roles during their upbringing. What is the final percentage-point value?",34 percentage points,"[""chart_00028_07"", ""chart_00071_02"", ""chart_00203_09""]","[""Asian Adults living above the poverty line"", ""Asian Adults living in poverty"", ""Net"", ""Not a Problem""]","[""Asian Respondent Definition""]",long
"In South and Southeast Asia, religious diversity is viewed through various lenses depending on the country and religious group, with most countries showing a positive perception of diversity. This perception varies significantly among different religious communities. Among Buddhists in Sri Lanka, there is a notable concern about the growth of Muslim populations, which can be compared to the percentage of Muslims in Indonesia who perceive religious diversity negatively. In the context of these religious perspectives, what is the percentage-point difference between these two values?","62 percentage points. 68% of Buddhists in Sri Lanka see growing Muslim populations as a threat, while 6% of Muslims in Indonesia perceive religious diversity negatively.","[""chart_00091_02"", ""chart_00204_04"", ""paragraph_00091_05""]","[""Buddhists in Sri Lanka"", ""Muslims in Indonesia""]","[""Buddhists""]",long
"Between 1995 and 2022, did the peak in the number of unauthorized immigrants in the U.S. workforce occur before or after the peak in the number of Mexican unauthorized immigrants?",The peak in the number of unauthorized immigrants in the U.S. workforce occurred after the peak in the number of Mexican unauthorized immigrants.,"[""chart_00142_06"", ""chart_00142_04""]","[""Workforce Participation"", ""90% Confidence Interval""]","[""White voters""]",easy
"In Indonesia, do Christians express a higher level of agreement than both Muslims and the national average that religious diversity improves the country's quality of life?","Yes, 67% of Christians in Indonesia say religious diversity makes the country a better place to live, which is higher than the 49% of Muslims and the 50% national average.","[""chart_00091_02"", ""chart_00204_04""]","[""['No difference', \\\""Perception of Diversity's Impact on Quality of Life\\\""]""]","[""Buddhists""]",easy
"In 2023, did Black adults aged 50-64 infrequently receive local community news coverage at a higher rate than Black adults overall who frequently held leadership roles during their upbringing?","Yes, 22% of Black adults aged 50-64 rarely or never received local community news coverage compared to 21% of Black adults who frequently held leadership roles while growing up.","[""chart_00081_02"", ""chart_00071_02""]","[""Black Adults"", ""50-64 age group""]","[""Year 2023""]",easy
"Among Asian respondents, the percentage who view racial bias in hiring as a major problem is higher than those viewing it as a minor problem. This demographic also reports a specific preference for walkable communities and a certain level of leadership experience. What is the percentage-point difference between major and minor problem perceptions for Asian respondents in hiring?","The percentage-point difference is 8. Among Asian respondents, 62% prefer walkable communities and 43% sometimes took leadership roles.","[""chart_00002_06"", ""chart_00071_02"", ""chart_00028_07""]","[""Sometimes"", ""Preference for Walkable Communities"", ""Minor Problem"", ""Major Problem""]","[""Asian Respondent Definition""]",long
"U.S. adults expressed strong frustration about corporations not paying their fair share in the federal tax system during a 2023 survey. This same demographic, when surveyed about climate change in 2022, showed a certain percentage viewing it as a major threat. Within international economic perceptions, a third survey conducted later in 2023 found a particular share of Americans believing emerging economies would positively impact their country. What is the total of these three percentages?",154,"[""chart_00213_02"", ""chart_00004_06"", ""chart_00111_06""]","[""[\\\""Americans' frustrations with the federal tax system\\\"", 'Perceived Impact on Country', 'All adults']""]","[""Don't know/refused and other volunteered responses""]",long
"Among the surveyed Asian societies, does Hong Kong's equal division between maintaining traditional ways of life and being open to cultural change suggest a more complex relationship with external cultural influence compared to a society where a majority perceives that external power as a major geopolitical threat?","Yes, Hong Kong's equal split (49% each) between maintaining traditions and being open to cultural change suggests a divided perspective on cultural identity and a more nuanced relationship with external influence, while Taiwan's 66% perception of China as a major threat indicates a more unified concern about geopolitical influence.","[""chart_00137_03"", ""chart_00056_04""]","[""Hong Kong"", ""Taiwan""]","[""Oregon""]",analysis
"Among religious groups in the United States, one particular group has a notably smaller presence among Democratic voters compared to the general voting population. This group shows a strong preference for one presidential candidate over the other. Within this same religious group, a significant majority views the influx of migrants at the southern border as a serious issue, with this perspective being more pronounced than among the general public. What percentage of this specific religious group considers the large number of migrants seeking to enter the U.S. at the border with Mexico to be a crisis for the United States?",70%,"[""chart_00159_04"", ""chart_00224_02"", ""chart_00184_01""]","[""American Trends Panel"", ""Protestant"", ""Major problem""]","[""American Trends Panel""]",long
"Many countries are experiencing shifts in their relationship with international institutions. A nation in West Africa has seen a decline in favorable views toward a major global organization over the past year. This nation has an internet usage rate that is below the global average, with a significant portion of its population not connected online. This country's perspective on the rise of emerging economies differs from European nations, where a larger share sees such developments positively. Within this African nation, a notable segment of the population holds favorable views of one Asian power while maintaining unfavorable views of its neighbor. What is the percentage-point difference between the decline in favorable views of the international organization and the percentage of the population that does not use the internet in this nation?",The percentage-point difference is 33.,"[""chart_00068_02"", ""chart_00111_06"", ""chart_00252_02"", ""paragraph_00006_02""]","[""Nigeria"", ""United Nations"", ""internet usage"", ""emerging economies"", ""China"", ""Taiwan""]","[""Nigeria""]",long
"Among Nigerian adults, does the percentage who believe social media has positively impacted democracy exceed the percentage who use social media platforms, suggesting that perception of social media's democratic value extends beyond actual users?","Yes, 77% of Nigerian adults believe social media has positively impacted democracy, which exceeds the 55% who use social media platforms.","[""chart_00187_01"", ""paragraph_00178_01""]","[""['Nigeria', 'Social media usage', \\\""Perception of social media's impact on democracy\\\""]""]","[""Nigeria""]",analysis
"Among White evangelical Protestants, is the percentage viewing migrant influx at the U.S.-Mexico border as a crisis higher than the percentage citing violence in home countries as a major reason for migration?","Yes, 70% view it as a crisis compared to 50% who cite violence in home countries as a major reason.","[""chart_00184_01"", ""chart_00184_02""]","[""White Evangelical"", ""Crisis"", ""Violence in home countries""]","[""Protestant""]",easy
Start with a country where the percentage of people feeling close to others in their local community is among the highest globally. This country has a social media usage rate that is lower than its internet usage rate. The percentage-point difference between these two rates is a specific number. What is this difference?,"The country has 91% of people feeling close to their local community, and the percentage-point difference between social media usage (55%) and internet usage (57%) is 2.","[""chart_00228_01"", ""chart_00187_01"", ""chart_00068_02""]","[""People in their local community"", ""Social Media Usage"", ""Internet Users""]","[""Nigeria""]",long
"Among nations in the 2023 Global Attitudes Survey, one country shows a high level of European Union support among its left-leaning population. This country also has a specific rate of social media adoption among its citizens. Furthermore, this nation's overall EU favorability experienced a decline between 2022 and 2024. What is the percentage-point difference between the social media usage rate and the magnitude of the EU favorability decline for this country?",The percentage-point difference is 62.,"[""chart_00076_03"", ""chart_00187_01"", ""chart_00112_02""]","[""left-leaning population"", ""social media adoption rate"", ""EU favorability decline""]","[""2023 Global Attitudes Survey""]",long
"Among Asian adults, does a higher perception of racial bias in hiring as a major problem correlate with a higher rate of reported leadership roles during upbringing when compared to White adults?","Yes, because Asian adults report both a higher percentage viewing racial bias in hiring as a major problem (49% vs. 30% for White adults) and a higher net rate of leadership roles during upbringing (66% vs. 52% for White adults).","[""chart_00071_02"", ""chart_00028_07""]","[""Asian Adults"", ""White Adults""]","[""Asian Respondent Definition""]",analysis
"Among the African country with the lowest support for same-sex marriage and the African country with the highest support for same-sex marriage, which one has a higher percentage of adults who use the internet?",South Africa,"[""paragraph_00094_02"", ""chart_00187_01""]","[""Nigeria"", ""same-sex marriage"", ""Internet Usage""]","[""Nigeria""]",easy
"White Evangelical Protestants demonstrate a strong perspective on the U.S.-Mexico border situation, with a majority considering the influx a crisis. This demographic also holds a distinct view on the reasons behind migration, particularly regarding violence in migrants' countries of origin. Furthermore, within a major political party, White Evangelical Protestants represent a relatively small segment of the voter base. What percentage of White Evangelical Protestants view the border influx as a crisis, what percentage cite violence in home countries as a major reason for migration, and what percentage of Democratic voters identify as White Evangelical Protestants?","70%, 50%, and 5%","[""chart_00184_01"", ""chart_00184_02"", ""chart_00159_04""]","[""White Evangelical Protestants"", ""border influx"", ""violence in home countries"", ""Democratic voters""]","[""Protestant""]",long
"Among countries that experienced a significant economic decline from 2023 to 2024, does Nigeria maintain a stronger sense of connection to local community members compared to the international median?","Yes, Nigeria maintains a stronger sense of connection to local community members despite experiencing a significant economic decline.","[""chart_00114_02"", ""chart_00228_01"", ""paragraph_00006_02""]","[""Nigeria"", ""Economic situation rated as good (2023)"", ""People in their local community""]","[""Nigeria""]",easy
"Among Asian adults living above the poverty line, is the percentage who believe the American Dream is out of reach for them lower than the percentage of all Asian adults who consider racial bias in hiring to be a problem?","Yes, 26% of Asian adults living above the poverty line believe the American Dream is out of reach for them, which is lower than the 89% of all Asian adults who consider racial bias in hiring to be a problem (combining major and minor problem categories).","[""chart_00203_09"", ""chart_00028_07""]","[""Asian Adults living above the poverty line"", ""Not a Problem""]","[""Asian Respondent Definition""]",easy
"A national survey focusing on Latino communities revealed that a small percentage of Hispanic adults were aware of a specific term. Within this same demographic group, a survey on voting access found a particular level of support for allowing any voter to cast ballots without documenting a reason. Separately, a survey examining global economic perspectives showed a certain percentage of U.S. adults believed emerging economies would have a positive influence. What is the percentage-point difference between the Hispanic adults' support for no-excuse voting and the U.S. adults' positive view on emerging economies?",17 percentage points,"[""chart_00254_09"", ""chart_00133_04"", ""chart_00111_06""]","[""National Survey of Latinos"", ""U.S. Adults Voting Access Opinion"", ""Survey on Global Influence of Emerging Economies""]","[""Don't know/refused and other volunteered responses""]",long
Do high school teachers demonstrate both a higher level of skepticism toward AI tools in education and lower uncertainty compared to the average teacher population?,"Yes, 35% of high school teachers view AI tools as causing more harm than benefit compared to 25% across all teachers, and 21% are uncertain compared to 35% overall.","[""chart_00230_02"", ""chart_00230_01""]","[""High school teachers"", ""More harm than benefit"", ""Uncertainty about AI tools""]","[""Rounding adjustment""]",analysis
"In Nigeria, which public sentiment experienced a larger decline between 2023 and 2024: the favorable view of the United Nations or the positive assessment of the country's economic situation?",The positive assessment of the country's economic situation experienced a larger decline.,"[""chart_00114_02"", ""chart_00252_02""]","[""Nigeria"", ""Favorable views of the United Nations"", ""Percentage change in economic ratings (2023-2024)""]","[""Nigeria""]",easy
"Among countries with widespread acceptance of LGBTQ+ rights, does higher social acceptance generally correspond with more favorable views of international organizations like the United Nations?","Yes, there is a general positive correlation between social acceptance of LGBTQ+ rights and favorable views of the United Nations, with countries showing higher acceptance tending to have higher UN favorability (e.g., Sweden with 92% acceptance has 76% UN favorability, Netherlands with 89% acceptance has 72% UN favorability, Germany with 80% acceptance has 61% UN favorability).","[""paragraph_00094_02"", ""chart_00252_02""]","[""LGBTQ+ rights acceptance"", ""Favorable views of the United Nations""]","[""Nigeria""]",analysis
"Black Protestants represent a specific subgroup within the broader Protestant community. This subgroup's level of support for U.S. diplomatic involvement in a major international conflict during September 2024 is documented in a recent survey. The same demographic also holds a particular view on violence in their home countries as a driver for migration, with a distinct percentage citing this factor. Within this same subgroup, a certain percentage reported experiencing the presence of a deceased family member in the past year. Among these three metrics, what is the percentage-point difference between the highest and lowest values?",49 percentage points,"[""chart_00247_02"", ""chart_00184_02"", ""chart_00022_03""]","[""Black Protestants"", ""U.S. diplomatic involvement"", ""violence as migration driver"", ""spiritual experience""]","[""Protestant""]",long
"In countries with very low international travel (less than 3% of the population having visited five or more countries), does a higher rate of international travel correlate with higher internet usage among the adult population?","Yes, Kenya has a higher rate of international travel (2% vs. less than 1%) and higher internet usage (66% vs. 57%) compared to Nigeria.","[""chart_00187_01"", ""chart_00101_02""]","[""Nigeria"", ""Kenya""]","[""Nigeria""]",analysis
"In Indonesia, does the Christian population's perspective on religious diversity's effect on quality of life demonstrate a stronger positive association compared to both Muslim communities and the national average, and what does this suggest about religious affiliation's role in shaping diversity attitudes?","Yes, 67% of Indonesian Christians believe religious diversity improves quality of life, which is 17 percentage points higher than Muslims (49%) and 17 points higher than the national average (50%), indicating Christian affiliation correlates with more favorable views toward religious diversity in Indonesia.","[""chart_00091_02"", ""chart_00204_04""]","[""['Christians', 'South Korean Adults', \\\""Perception of Diversity's Impact on Quality of Life\\\""]""]","[""Christians""]",analysis
"Among Asian diaspora groups in the United States, is there a relationship between the prevalence of ancestral tradition practices in their countries of origin and the favorability of views toward those ancestral homelands?","Yes, there is a positive relationship where higher participation in ancestral traditions correlates with more favorable views of ancestral homelands among Asian diaspora groups.","[""chart_00103_07"", ""chart_00261_04""]","[""[\\\""Chinese American adults' views of ancestral homelands\\\"", 'Net One or More']""]","[""Survey of Asian American adults""]",easy
"Among U.S. adults, is the percentage-point gap between political parties regarding perceptions of Supreme Court justices' political neutrality larger than the percentage-point gap between age groups in actively seeking political news?","Yes, the partisan gap of 43 percentage points is larger than the age gap of 35 percentage points.","[""chart_00153_08"", ""chart_00234_04""]","[""Democrats and Republicans"", ""Adults aged 65+ and 18-29""]","[""Don't know/refused and other volunteered responses""]",analysis
"Among U.S. Black adults, does the proportion who believe local journalists are in touch with their community exceed the proportion who consider it extremely or very important that news about their local community comes from Black journalists?","Yes, the proportion who believe local journalists are in touch with their community is higher.","[""chart_00081_03"", ""chart_00173_07""]","[""Local journalists in touch with community"", ""News about local community from Black journalists""]","[""Survey Date: Sept. 16-22, 2024""]",easy
"Among religious subgroups in the United States, one group exhibits a significantly lower proportion of Democratic or Democratic-leaning voters compared to the general voter population. This same group also holds a distinct perspective on societal demographic shifts, specifically regarding the impact of declining marriage rates. When assessed for support of U.S. diplomatic involvement in resolving a major international conflict during September 2024, this group's stance differed from the broader religious tradition to which it belongs. What is the percentage-point difference in support for U.S. diplomatic involvement between this subgroup and the broader religious group?","The percentage-point difference is 1, with the subgroup at 23% and the broader group at 22%.","[""chart_00159_04"", ""chart_00247_02"", ""chart_00042_01""]","[""Black Protestant"", ""Protestant""]","[""Protestant""]",long
"In countries where internet usage exceeds 90% of the population, does social media usage consistently remain above 50%, and does France follow this pattern?","Yes, because all countries with internet usage above 90% have social media usage above 50%, and France has 92% internet usage and 67% social media usage.","[""chart_00187_01"", ""chart_00068_02""]","[""France"", ""Social Media Usage"", ""Internet Users""]","[""France""]",analysis
"Considering the consistent perspective among Asian voters that undocumented immigrants predominantly fill positions that U.S. citizens are not seeking, and given the significant demographic transformation in the unauthorized immigrant population with Mexico's representation declining substantially since 2007 while other countries' contributions have grown, does this demographic evolution correspond with Asian voter perceptions regarding the economic role of unauthorized immigrants?","No, the demographic evolution does not correspond with Asian voter perceptions, as their consistent 90% view that undocumented immigrants fill jobs citizens don't want remains unchanged despite Mexico's share declining from 6.9 million (63%) in 2007 to 4.0 million (37%) in 2022, while immigrants from other countries increased from 4.1 million to 6.9 million during the same period.","[""paragraph_00237_02"", ""chart_00142_04""]","[""Asian voters"", ""undocumented immigrants""]","[""Asian voters""]",analysis
Does the percentage-point gap in religious non-affiliation between partisan groups exceed the percentage-point gap in views about undocumented immigrants filling jobs Americans would like to have between White and Black voters?,"Yes, the religious non-affiliation gap between partisan groups (12 percentage points) is larger than the job competition views gap between White and Black voters (4 percentage points).","[""chart_00159_04"", ""chart_00237_02""]","[""['Other Faiths', \\\""Don't Want\\\""]""]","[""American Trends Panel""]",easy
"In the 2020-21 school year, how does the proportion of Hispanic students in U.S. public schools compare to the proportion of Hispanic Catholics who consider global climate change an extremely or very serious problem?",The proportion of Hispanic students in U.S. public schools (28%) is lower than the proportion of Hispanic Catholics who consider global climate change an extremely or very serious problem (71%).,"[""chart_00262_04"", ""chart_00048_01""]","[""Hispanic respondents"", ""U.S. Public School Students""]","[""American Trends Panel""]",easy
"In Indonesia, do Christians express a higher level of agreement that religious diversity positively affects the country's quality of life compared to the general adult population?","Yes, Christians express a higher level of agreement.","[""chart_00091_02"", ""chart_00204_04""]","[""['Christians', \\\""Perception of Diversity's Impact on Quality of Life\\\""]""]","[""Christians""]",easy
"Among states with high public school enrollment and low population density, one state requires voters to generally affiliate with a political party and has an unauthorized immigrant population in the smallest size category. This state also shows a specific level of K-12 enrollment in traditional public schools. What is this percentage?",91%,"[""paragraph_00113_04"", ""chart_00113_04"", ""chart_00144_08"", ""chart_00142_05""]","[""<25K"", ""Generally party affiliation required"", ""Public School Enrollment""]","[""Alaska""]",long
"In 2023, do U.S. adults who are highly familiar with artificial intelligence generally express greater concern about AI's role in daily life, while those with a college education or higher show more positive views regarding AI's assistance in everyday practical tasks?","Yes, 47% of highly familiar U.S. adults were more concerned than excited about AI in daily life in 2023, while 60% of college-educated adults viewed AI as helpful for discovering products and services of interest online.","[""chart_00025_02"", ""chart_00025_04""]","[""[\\\""Percentage of U.S. adults feeling more concerned than excited (2023) - 'A lot' group\\\"", 'Education Level: College degree+']""]","[""Respondents who did not give an answer""]",analysis
"Among U.S. adults surveyed in April 2024, the oldest age group is far more likely than the youngest to actively search for political news. This generational gap is part of a complex pattern of political differences observed in the same year. In a May 2024 survey, the partisan divide in self-perception is exemplified by the large gap in identifying as 'Traditional'. Within this same political landscape, a July 2024 survey revealed a significant partisan gap in views on the Supreme Court's handling of political views. The sum of these three percentage-point differences is a whole number. What is it?",100,"[""chart_00169_02"", ""chart_00234_04"", ""chart_00153_08""]","[""Survey of U.S. Adults"", ""Active Search for Political News"", ""Survey Date""]","[""Don't know/refused and other volunteered responses""]",long
"In East Asian countries where ancestor rituals are commonly practiced, do Christians generally participate at similar rates as the broader population?","No, Christians participate at lower rates than the general population in ancestor rituals across East Asian countries.","[""chart_00261_04"", ""paragraph_00128_02""]","[""Christians"", ""Percentage of Adults""]","[""Christians""]",easy
"Did the perceived common ground between political parties on foreign policy decrease between early 2023 and mid-2024, while foreign policy was considered a very important issue by a large majority of White Evangelical Protestants in the 2024 presidential election?",Yes,"[""chart_00253_04"", ""chart_00124_02""]","[""White Evangelical"", ""Foreign Policy""]","[""Protestant""]",easy
Does the higher level of skepticism toward expert opinions among Republicans compared to Democrats help explain the growing partisan divide in views on climate change as a critical issue?,"Yes, because 44% of Republicans versus 17% of Democrats express skepticism toward expert opinions, and the partisan gap in viewing climate change as a major threat widened from 36 percentage points in 2009 to 55 points in 2022.","[""chart_00169_02"", ""chart_00004_06""]","[""Republicans"", ""Democrats""]","[""Don't know/refused and other volunteered responses""]",analysis
"In Nigeria, religious groups hold varying views on social issues, with one majority religion showing significantly different perspectives from another. This country has seen a decline in its favorable view of an international organization over recent years. The religious group with more restrictive views on social issues also has members who, in the United States, reported a higher level of a specific emotional response to a recent conflict compared to the general population. What is the percentage-point difference in this emotional response between U.S. members of this religious group and the general U.S. population?","The percentage-point difference is 16, with 53% of U.S. Muslims reporting they feel afraid about the Israel-Hamas war compared to 37% of U.S. adults overall.","[""chart_00252_02"", ""chart_00207_05"", ""paragraph_00231_04""]","[""Nigeria"", ""religious groups"", ""international organization"", ""emotional response""]","[""Buddhists""]",long
"Among young adults in Taiwan, does the strong preference for identifying as primarily Taiwanese correlate with lower participation in traditional Chinese cultural practices, while maintaining support for democratic governance?","Yes, the evidence shows that young adults in Taiwan who predominantly identify as primarily Taiwanese demonstrate lower engagement with traditional Chinese cultural practices while maintaining strong support for democratic governance.","[""chart_00056_02"", ""chart_00261_05"", ""paragraph_00195_01""]","[""Ages 18-34"", ""Taiwanese identity"", ""Confucius"", ""Democracy""]","[""Ages 18-34""]",analysis
"Among Asian adults in the United States as of late 2022 to mid-2023, does the prevalence of perceiving racial and ethnic bias in hiring as a systemic barrier align with the proportion of economically disadvantaged individuals who believe the American dream is unattainable, suggesting a potential relationship between structural inequities and socioeconomic outcomes?","Yes, 49% of Asian adults perceive racial and ethnic bias in hiring as a major problem, while 47% of Asian adults living below the poverty line believe the American dream is out of reach, indicating a potential alignment between perceived systemic barriers and economic hardship.","[""chart_00028_07"", ""chart_00203_09""]","[""Asian Respondent Definition (L2)"", ""Major Problem (L2)""]","[""Asian Respondent Definition""]",analysis
"In the 2023 survey of adults in East Asia and Vietnam, how does the rate of burning incense for ancestor rituals in Vietnam compare to the highest rate observed in any East Asian place, and what does the high participation among Vietnamese Christians despite the general religious trend suggest about the cultural significance of these rituals in Vietnam?","The rate in Vietnam is nearly all, which is higher than Taiwan's 81% (the highest among East Asian places). The high participation among Vietnamese Christians, despite Christians generally being less likely to engage in such rituals, suggests that ancestor rituals are deeply embedded in Vietnamese culture.","[""chart_00261_04"", ""paragraph_00128_02""]","[""Vietnam"", ""incense""]","[""Survey of Asian American adults""]",analysis
How does the magnitude of change in France's favorable view of the United Nations between 2023 and 2024 compare to the typical ideological differences in views of international organizations observed in European countries?,The decline in France's favorable view of the United Nations (9 percentage points) is smaller than the typical ideological differences in views of international organizations (often 20 points or more).,"[""chart_00252_02"", ""paragraph_00112_06""]","[""France"", ""Favorable views of the United Nations"", ""ideological center""]","[""France""]",easy
"In South and Southeast Asia, religious groups generally do not see growing populations of other religious groups as threats to their religion, but there are notable exceptions where tensions exist between majority and minority faiths. This religious tension context relates to broader patterns of how different countries view international institutions. This relationship is exemplified by a country in West Africa with significant religious diversity. Within this country, the population shows a certain level of support for a global organization in the most recent year. The difference in favorability of this global organization between this West African country and another nation with a different religious composition is a specific percentage point gap. What is this percentage-point difference in favorability of the global organization between these two countries?",The percentage-point difference in favorability of the United Nations between Nigeria (69%) and Israel (21%) in 2024 is 48.,"[""paragraph_00091_05"", ""chart_00252_02"", ""paragraph_00231_04""]","[""South and Southeast Asia"", ""West Africa"", ""global organization"", ""Nigeria"", ""Israel""]","[""Buddhists""]",long
"South Korea has a notable rate of religious switching, with a specific percentage of adults now identifying as Christian but raised in a different religious tradition or with no religious identity. This country also has a particular level of engagement in burning incense for ancestor veneration. Additionally, in Indonesia, a majority of Christians state that religious diversity improves the country's quality of life. What is the percentage-point difference between the level of incense burning in South Korea and the percentage of Christians in Indonesia who say religious diversity makes the country better?","22. The specific percentage of adults who switched to Christianity is 12%, the level of incense burning is 45%, and the percentage of Christians in Indonesia is 67%.","[""paragraph_00118_07"", ""chart_00261_04"", ""chart_00204_04""]","[""['South Korean Adults', 'Percentage of Adults', \\\""Perception of Diversity's Impact on Quality of Life\\\""]""]","[""Christians""]",long
